overall_rating,review_text,sentiment,predito,tipo_erro
2,O produto em si cumpre a função porém um lado veio maior que o outro então não há como fechar.,0,1,Falso positivo
4,"Só não dou nota 10, pois quando preciso retirar a cantina do Tablet eu também necessito retirar a capa. Pois o espaço é limitado com a capa",1,0,Falso negativo
4,"acHo extranho a AMERICANA VENDER ESTE APARELHO DEVIDO AOS VENDEDORES NAO EMITIREM NOTA, JA FAZ DOIS ANOS QUE TENHO ESTES APARELHO, PRIMEIRO O HTV BOX 3 E RECETIMENTE O HTV BOX 5 SO, SEM FAZER PROPAGANDA OS MEUS SEMPRE FUNCIONARAM, NOTANDO O PERIDO QUE OS AVALIADORES RECLAMAM  E UM PERIODO QUE ESTAVAM PASSANDO POR RESTRUTURAÇÃO E ELES ERAM BEM CLAROS NO AVISO E AVISAVAM QUE LOGO O PROBLEMA SERIA RESOLVIDO ATE QUE FINALMENTE DIA  14 PASSADO PALAVRAS DELES ATRAVES DE COMUNICADO QUE O PROBLEMA FOI RESOLVIDO, E NÃO TRAVOU MAIS. SE NÃO RECOMENDO PRA NINGUEM PRA MIM VALEU E SEMPRE NUNCA TIVE PROBLEMA A NAO SER ESTE PERIODO DE MANUTENÇÃO ENTRE ELES. MAIS ENTRE A SASTIFAÇÃO DE TER PAREM DE FICAR CARREGANDO FILMES 5360 HOJE E TODO DIA VCS ACRESCETAM, A UNICA COISA QUE NAO FUNCIONA, E A LEGENDA,  SO CONSIGO VER FILMES LEGENDADO PELA NETIFLIX,  NO QUE NAO FAZ PARTE DO PACOTE MAS VEM INCLUIDO NO CHROMOSCAT QUE FOI PRECISO COMPRAR PARA INSTALALAR O HTV BOX 3 E O CINCO TENHO OS 2",1,0,Falso negativo
4,"Ainda não é o que gostaria de comprar, mais sim o que deu no momento",1,0,Falso negativo
4,"Amo esse produto, o preço é ótimo! Prazo de entrega de 20 dias, mas não entregaram pq não tinha no estoque e tbm só avisaram após ter ficado 25 dias aguardando. Não gostei da loja beleza na web. Primeiro, para justificar a entrega atrasada alegaram problema com a transportadora e só depois de 5 dias disseram que não tinha o produto em estoque.",1,0,Falso negativo
5,"O produto chegou danificado, fiz a solicitação de devolução no dia 12 deste mes, até o presente momento não foi realizada a coleta e não consigo contato com a empresa responsável.",1,0,Falso negativo
4,"Para a finalidade, que é para uma cozinha simples e pequena, o produto é bom. Só as instruções para montar as peças são muito ruins. Se não fosse o vídeo no YouTube não teria conseguido.",1,0,Falso negativo
4,mercadoria foi enviada errada conforme o pedido  palheta fiat uno 93   trazeira  enviaram a dianteira  já pedi informação de como trocar  até agora não me informaram,1,0,Falso negativo
5,O valor do celular é esse mesmo ?? De 700 e pouco ?,1,0,Falso negativo
1,comprei a mascara que costumo usar da marca mairibel que por sinal e otima mais a empressa me envio uma mascara da marca hidralycollor marca que não conheço,0,1,Falso positivo
4,"O serviço de transporte, terceirizado, colocou em cheque a credibilidade das Lojas Americanas.  Minha residência esta localizada em local central e de fácil acesso no município, mesmo assim deixaram o produto na casa de uma pessoa desconhecida por mim (moradora a uma distância de um quarteirão de minha residência) e pediram para que ela procurasse o proprietário, como se a pessoa fosse funcionário da transportadora. Fiquei perplexo, a pessoa conseguiu me contactar após 4 dias da entrega do produto, se fosse algo urgente e de cunho profissional teria o dano moral causal. Outra questão do qual me deixou ainda mais estarrecido, foi não pensarem que se a pessoa não fosse de boa fé, não me entregaria o produto, ao menos procuraria o comprador, logo, causaria uma questão judicial gravíssima com foco em perdas e danos. Fiquei chocado em pleno século que vivemos, com todos os meios de comunicação disponíveis, inclusive tem o meu número celular no cadastro das Lojas Americanas, caso a transportadora não conseguisse encontrar a residência deveriam me contactar antes de uma decisão esdruxula dessas e que foge totalmente ao conceito de boa gestão, de qualidade e de respeito e zelo pelo consumidor. Tão logo, em contato com os três moradores da casa que se encontravam em seu imóvel no momento da pseudo-entrega, os mesmos alegaram que caso eu optasse por entrar com uma ação judicial contra a empresa, tendo as Lojas Americanas a responsabilidade solidaria sobre a entrega do produto e pelo fato de minha negociação ter sido feita diretamente com esta, os mesmos serviriam de testemunhas na lide. Peço que vocês pesquisem através da Nota Fiscal a empresa Paranaense que foi a responsável pelo transporte do produto e cortem laços com ela, pois a sua forma de atuação e desrespeito com o consumidor foge ao amadorismo empresarial. O produto em si responde ao anunciado, não tenho reclamações a respeito apesar de chegar com alguns riscos em uma das laterais.  Sem mais, agradeço a atenção.  A.D.",1,0,Falso negativo
5,Já tenho outras TVs Samsung e acho uma das melhores  imagens em TV!,1,0,Falso negativo
1,"Muito bom, gostei muito, cumpre o que promete... Lojas americanas esta de parabéns!!!",0,1,Falso positivo
4,"gostei muito mas depois de 5 meses ele n funcionava mais, e eu n emprestava pra ninguem e cuidava mais do que o meu proprio celular e msm assim estragou, sempre lipava td certin e tentei trocar n deu certo",1,0,Falso negativo
4,Gostei muito do produto pena que veio faltando peças...que tive que comprar.... Faltaram parafusos e dobradiças das portas.,1,0,Falso negativo
5,"Se for comprar um volante para xbox , compre desta marca -logitech-não comprem thrustemaster  , além de ser uma droga , o meu deu pane em menos de 20 dias ,se der problema não tem a quem recorrer.",1,0,Falso negativo
1,"Além de atrasar a entrega, o produto chegou sem funcionar. Agora para devolver precisa juntar todos os documentos, levar ao correio. Melhor comprar um desses em qq loja de bairro que dá pra vc testar antes.",0,1,Falso positivo
5,"Muito bem acabado, só achei que os pés deveriam vir com um acabamento de borracha ou em carpete, para não dar a sensação que está arranhando a base onde fica o Cooktop, mas no geral um produto que dá um acabamento fantástico no Cooktop quando não está sendo usado. Adorei e Índico o produto.",1,0,Falso negativo
4,"Dei azar de adquirir um aparelho com defeito no touch screen, só fui perceber o defeito quando já tinha passado o tempo limite de troca, mas resolvi bem rápido com a assistência técnica autorizada da Sony Xperia que levou apenas 8 dias para consertar o problema. Trocaram muitas peças defeituosas. Assim que foi resolvido o problema, o aparelho ficou 100% funcionando perfeitamente. Uso muito para filmagens e fotos, por isto gostei muito. Reparem bem o funcionamento do touch screen ao adquiri este aparelho, pesquisei um pouco, soube que era muito comum este defeito no mesmo, infelizmente. Mas com as funcionalidades perfeitas é um ótimo aparelho, só não posso generalizar o problema para todos que comprarem. Eu apenas dei azar, isto acontece.",1,0,Falso negativo
2,"Não chega nem aos pés do meu antigo Galaxy S5 g900md. Para quem está acostumado com aparelhos lerdos, podem comprar. O único item, melhor que no meu velho Galaxy S5, é a bateria.",0,1,Falso positivo
1,"Saudades de quando Americana entregava em 3 dias úteis, pois atualmente demora demais.",0,1,Falso positivo
5,"Galera, só pra ficar avisado, essa máquina é realmente boa, no entanto somente pra quem quer passar a zero. Tenho ela faz uns quase 3 anos, uso frequentemente pra raspar a cabeça e me serve muito bem. No entanto, usar o pente dela é bem chato. Acumula muito cabelo e não corta uniformemente. Muito mal projetado. Ou seja, SÓ COMPRE SE NÃO FOR PRECISAR USAR O PENTE.",1,0,Falso negativo
2,"O produto chegou antes do esperado, bem embalado. Um bom trabalho da americanas.com; por outro lado o jogo diverte, mas pela desconsideração da Warner Bros para com o público alvo, a história acabou ficando incompleta. Há também a presença de alguns erros no software (como bugs e lags), porém nada que atrapalhe a conclusão do jogo.",0,1,Falso positivo
5,"Produto muito bom, o primeiro q dei pro meu carrocho já tem quatro meses e até agora não apareceu nenhuma pulga e nem carrapato.",1,0,Falso negativo
5,quando eu comprei esse copo minha vida mudou quando eu bebi nesse copo eu fiquei rico de um dia para o outro alem de ser um copo execelente ele da sorte amei o produto,1,0,Falso negativo
2,"O notebook é muito bonito e leve. A bateria tem boa duração. Serve para navegar e usar office, mas às vezes dá umas travadinhas. Em geral achei o processador muito fraco. Comprei por 999,00 na blackfriday. Então teve um bom custo benefício. Vou vender e comprar outro no mínimo um core i3.",0,1,Falso positivo
5,"Comprei esse disco que é muito bom, porém recebi apenas um, na propaganda está bem claro. ""  5 unidades"". Espero que resolvam logo.",1,0,Falso negativo
2,"já tive uma outra do mesmo modelo e era melhor , não finaliza a escova  como eu gostaria.",0,1,Falso positivo
2,"O produto é bom. Mas o pano fica sempre com água, não tem absorção de água direito ao torcer.  Mas é um produto prático para dia dia.",0,1,Falso positivo
1,É um produto muito pequeno ou seja se for para família não dá certo a menos que você tome café sozinho todos os dias em casa pois faz pouca quantidade de café.  É bonita porém não queria um enfeite e na minha casa foi isso o que se tornou.  Por fim tive que comprar outra da marca mondial que quando chegou achei pequena também porém excelente.,0,1,Falso positivo
1,"Tem que ter uma amiga pra colocar o cílios, poderia ser mais prático , achei muito curto os fios",0,1,Falso positivo
4,Tem um problema ele diz que a bateria do relógio dura 5 dias não é verdade ele dura somente um dia com o uso na corrida longa ele só dura 5 horas...eu estou com esse problema não aguenta um treinamento longo....,1,0,Falso negativo
4,"Comprei esse modelo para repôr o meu que quebrou ( por minha culpa ). A capa protetora do outro modelo que eu tinha (6401) encaixa nesse modelo e em outros tbm. Essa foi uma informação importante que procurei  na internet não achei. Então #ficaadica!  O produto é muito bom. Dói sim, mas logo se acostuma. O cabeçote de aparar os pêlos não funciona para raspar como diz em algumas descrições. Ele corta bem rente a pele e fica uma pontinha. Mas é útil em algumas áreas.  O prazo de entrega era de 13 dias mas chegou em DOIS DIAS.",1,0,Falso negativo
5,só o telemarketig que não fucionou pra mim não teve atedente pra falar comogo,1,0,Falso negativo
4,"Ainda não tive tempo de monta-las e fazer uso das cadeiras, porém quanto a entrega e a aparência do produto não tenho do que reclamar.",1,0,Falso negativo
2,"O produto é bom, funcional, mas, comprei acreditando que era todo preto e veio com algumas teclas azuis, um tanto joviais demais.",0,1,Falso positivo
4,"Gostei muito da camisa. Gostaria de destacar que o preto da camisa nao é tão preto e as listras e os bordados não são brancos, são meio que cinza. Não sei se esse é o padrão. Porém gostei muito.",1,0,Falso negativo
4,"Após a chegada do purificador tive que enviar o mesmo para a manutenção, chegou quebrado, tive que aguardar mais 20 dias para usar. Não gostei.",1,0,Falso negativo
2,O GPS deixou a desejar função que me ajudaria muito porque sou motorista de aplicativo e nessesita muito dessa função que me deixou na mão mas nessesariamente bom para quem usa redes sociais e um preço bem em conta...,0,1,Falso positivo
5,"estou satisfeita, apesar que percebi que o filtro de fiapos não está funcionando.",1,0,Falso negativo
1,"O celular é bom, a entrega excelente, mas, ele veio com defeito na conexão Wifi",0,1,Falso positivo
5,"Funcionando normalmente como deve ser , nao fazem mais que obrigação .",1,0,Falso negativo
5,Produto funcionou perfeitamente. A questão é que não veio na embalagem original da Sony. Veio avulso. Como se fosse algo pirata. Nunca recebi nenhum produto desta maneira.,1,0,Falso negativo
1,"Comprei por 4.799,00, em menor valor deste por conta do desconto à vista pelo boleto. Surpreendido por receber o iphone 8 256 sem ser plus. A enrolação está no próprio sistema na hora da compra...deve ser mais uma quadrilha de ladrão da nossa raça miserável brasileira....povo que gosta de se dar bem nas custas dos outros, fazendo uso de atos desonestos e tranbiqueiros..",0,1,Falso positivo
2,"Veio com uma mancha branca que depois sumiu,espessura muito grossa   Atendimento site lojas americanas ótima, precisei trocar por outro produto. Foi maravilhoso",0,1,Falso positivo
2,"jogo bom, porem jogar sozinho nao tem graca, todas as pessoas que conheco jogaram em no minimo 2 pessoas... neste caso um olha a outra, que graca tem.... se o divertido é vc se juntar a alguem e jogar junto o jogo mais divertido que existe sobre zumbie... uma pena.",0,1,Falso positivo
4,"Adorei e pena que comprei o tamanho errado, mas dei meu grito acrescentando um vaso, pra suprir o tamanho na altura..",1,0,Falso negativo
4,"Não tenho como avaliar o produto embora aqui é preciso pra publicar. Queria comprar o livro, tentei 3 ceps diferentes e a loja não faz entrega para nenhum!! Um deles é Centro do Rio de Janeiro e não faz... O outro Cordovil e outro Bangu. É só pra fazer propaganda na Americanas?  Fica difícil...",1,0,Falso negativo
4,"Ótimo travesseiro mas qd coloca as três espumas ele perde o formato e fica arredondado, por elas serem pequenas a altura se concentra no meio do travesseiro e não nele todo, se elas fossem maiores creio q resolveria, mas mesmo assim é muito bom! Compraria novamente.",1,0,Falso negativo
4,"A pipoca sai sequinha é muito gostosa, não leva óleo e nem sal. Porem, faz muito barulho quando liga.",1,0,Falso negativo
2,o meu produto um Samsung J7 tem um problema que faz o Wi-Fi desconecta toda hora e quero uma resposta porque eu sempre comprei nas lojas americanas e pela segunda vez o produto não corresponde minhas expectativa quero uma resposta,0,1,Falso positivo
4,"Não utilizei o produto ainda mais parece bom, sem mais",1,0,Falso negativo
5,"Se entendêssemos o sofrimento do outro como nosso, ao sofrermos,. não estaríamos  sozinhos.  Nunca",1,0,Falso negativo
5,"Estava ali pensando em escrever algo para um livro quando der repente vi esta lapiseira incrível , comprei imediatamente, alem de escrever sensacionalmente bem , ela também faz suas compra via WiFi pela internet, sim no anuncio não diz mas ela tem uma antena embutida , e claro né não podia falta o pitoresco e não menos singelo livro que vem junto, um tal de Death Note, diz que funciona se escrever o nome de alguém, sabe aqueles super heróis que morreram em guerra infinita?  é meu amigo é isso mesmo.",1,0,Falso negativo
5,A placa da minha máquina havia queimado. Comprei esse produto e substituí. A máquina voltou a funcionar normalmente.,1,0,Falso negativo
5,Entrega o que se espera do produto. Nada de surpresas. Recomendo.,1,0,Falso negativo
1,"Qual a marca, tamanho dos soquetes e o prazo de garantia?",0,1,Falso positivo
5,"Não trava, tem um espaço de 32 giga que isso já conta muito. Sobre o designer fino, leve e lindíssimo.",1,0,Falso negativo
4,"O jogo eu sei que é bom, mas não rodou no meu Xbox 360 e aí eu acabei devolvendo o produto.",1,0,Falso negativo
2,É uma batedeira potente mas mesmo na velocidade um quando bate espirra massa pra todo lado.... maluca maluca .... deveria ser menos potente as primeiras velocidades.,0,1,Falso positivo
4,"Bom dia,               A entrega foi feita dentro do prazo, o produto chegou intacto e a máquina funciona muito bem. O problema é que a entrega isso não acontece com todos os produtos - dê uma olhada nos meus pedidos e vai ver que uma bolsa que estava a venda, de repente, não estava mais a disposição no estoque do fornecedor. Troquei por alguns produtos e um telefone sem fio, de repente, também não estava mais a disposição. Até hoje não recebi um vale para escolher outro produto. E há o caso também de uma correia de ombro para a máquina que, de repente, o correio não consegue entregar - ""houve um imprevisto"".              Resumindo, falta a vocês regularidade, estou recebendo corretamente alguns produtos e tendo a maior dor de cabeça com outros.",1,0,Falso negativo
1,"Tv com o som muito baixo, impossível ouvir alguma coisa com o som da tv. melhor coisa é pagar um pouco mais em outra marca.",0,1,Falso positivo
4,"Existe os pontos positivos e negativos... O celular tem ótimo funcionamento, porém não sabia que a bateria não era removível. Ele esquenta não sei se é normal. Não gostei do modo da colocação do chip,  achei bem frágil.",1,0,Falso negativo
2,"O produto é muito bom, os coloridos cor de laranja é muito ruim para enxergar, eles são claros de demais e acabam atrapalhando na visualização.",0,1,Falso positivo
1,"Antes de avaliar o produto, seria bom que este fosse entregue, o que não aconteceu até o presente momento, mais de trinta dias após a compra",0,1,Falso positivo
4,esse pc vem com uma placa de 8 GB ou 2 de 4 GB ???,1,0,Falso negativo
2,"Gostaria de comprar este produto, porém não tem as especificações do produto como: altura, largura",0,1,Falso positivo
4,"Fácil instalação. Ótimas imagens e som. Ideal para colocar na parede, pois os pés de apoio não nos dão total segurança! Entrega pontualíssima!",1,0,Falso negativo
1,"O produto seria ótimo se.... fosse possível para qualquer um e principalmente uma pessoa (feminina) conseguir retirar a mangueira de sucção do aspirador. No manual está escrito ""retire a mangueira"" sem explicar que se deve apertar em dois lugares (não ao mesmo tempo) e rodar um pouco para então apertar num segundo segmento o que eu, homem com dez anos de musculação quase nunca consigo realizar tal a dificuldade. Precisei usar uma chave de fenda larga (para não quebrar a peça) para pressionar um lado e depois rodar e pressionar a chave de fenda novamente para daí, finalmente, conseguir retirar a mangueira.... Não fosse isto poderia classificar o produto como ótimo, mas diante da situação deixo a cargo de quem ler esta opinião, fazer a sua avaliação do produto.",0,1,Falso positivo
1,"Essa loja Mobly tem milhares de reclamações, olhem sempre quem é o parceiro que vende e entrega,",0,1,Falso positivo
2,perciso que a Americanas me entregue o que eu comprei.,0,1,Falso positivo
4,O celular cumpre com a descrição. Mas é novo e já travou duas vezes,1,0,Falso negativo
2,"Acabei de receber o produto. O tripé é bem leve e parece ser bem prático para transportar (as partes em plástico parecem bastante frágeis). A bolsa que acompanha o produto é prática, porém a minha veio com a alça toda desfiada. Em geral, acredito que vale a pena o custo benefício (apenas para iniciantes).",0,1,Falso positivo
2,No site do fabricante está como feminino e aqui no Americanas.com não corrigiram mesmo eu já tendo reclamado.,0,1,Falso positivo
2,Eu queria o da foto e veio um sdvi. Queria o DVI conforme o título,0,1,Falso positivo
4,se o produto é elétrico e não tem fio de alimentação  onde ligar,1,0,Falso negativo
2,"Achei que fosse maior! Mas o material parece ser Bom, mas só o tempo mostrará.",0,1,Falso positivo
4,"Gostei do produto e mais nada a dizer, tenho que encher de abobrinhas. Que chato isso, da próxima vez não avalio.",1,0,Falso negativo
2,Quanto ao atendimento e entrega esta satisfatório.entega do produto  tranquila antes do esperado,0,1,Falso positivo
2,"Achei que fosse alto, mas é bem baixinho. Se eu estiver em um transporte coletivo n consigo ouvir nada!",0,1,Falso positivo
4,Muito bacana substituí  a tradicional manicure que por sua vez ta caro sua mão de obra.,1,0,Falso negativo
2,"Bom, O Produto chegou tudo direitinho, porém o Controle veio com defeito, e o console com marcas de uso(eu nem me importei tanto assim com as marcas), o que atrapalhou foi só o controle que tá com o analógico defeituoso... tirando isso, tudo bem.",0,1,Falso positivo
1,Preciso da mochila pra minha filha ir pra escola  Indo a escola sem mochila desde 19 de fev  é um abuso  Quero meu cancelamento hoje,0,1,Falso positivo
2,Não quero o CD e sim o DVD deles ainda não tem? Peço DVD e aparece CD,0,1,Falso positivo
1,muito boa a entrega bem antes do previsto exelente loja superr recomendo,0,1,Falso positivo
4,"Então, o produto em si, é ótimo, porém ele vem todo com plástico em volta e quando tira o plastico, ele sai a cor, tipo arranhando o aparelho, eu não quis devolver por está precisando muito do celular, unica coisa que me deixou triste foi isso, por que ele ja veio descascado em 4 partes... Fora isso, TUDO maravilhoso.",1,0,Falso negativo
4,Era exatamente a que minha filha queria. Produto não deixou a desejar em nenhum  momentos.,1,0,Falso negativo
5,Porem a empresa que vendeu o produto não entregou a quantidade correta. Comprei 02 kits e recebi só um.,1,0,Falso negativo
2,"O aparelho é excelente e muito bonito, o problema é que não vem com o fone de ouvido e eu não sou o único que tá reclamando disso e depois de um bom tempo cansativos através de e-mail eles me falaram que não trabalha com fones avulso e então depositaram 50 reais para que eu compre um fone de ouvido.",0,1,Falso positivo
5,"Comprei dia 11/04 na pré venda e entregaram ontem dia 02/05. sempre compro na americanas e a entrega é sempre rápida(02 dias no máximo), mas dessa vez me decepcionei, o jogo foi lançando dia 20/04, esperava que no máximo entregariam dia 25. que pena, pré venda aqui nunca mais.",1,0,Falso negativo
5,"O celular em si é excelente. Mas depois de todo o nervoso que passei com esta compra, nunca mais compro nada na Americanas. Demorou 20 dias pra entregarem e não obtive suporte algum. O atendimento ao consumidor da Americanas simplesmente foi horrível, não respondem o que a gente pergunta é mandam apenas uma mensagem robótica. Sem contar a transportadora que nem tem atendimento ao consumidor. Enfim, se está pensando em comprar esse celular na Americanas, sugiro que comprem em outro site, senão pode ir esperar cerca de 20 dias para receber o produto.",1,0,Falso negativo
2,A minha opinião é que eu fui em ganado pq paguei caro em cartão micro Sd de 32 gg e ele não tem os 32 gg só tem 29.71 GG por isso me senti em ganado.,0,1,Falso positivo
1,Já escrevi tudo o penso e simplesmente fui ignorada...Não queria mas vou ser obrigada a ir nas redes sociais comentar e ajuizar ação contra a empresa para resolver.,0,1,Falso positivo
5,"minha vó estava chegando atrasada aos locais de interesse dela, comprei uma cadeira de rodas e adaptei esse motor, a velha ta voando, só tive que comprar um corega mais forte pois a dentadura dela voou",1,0,Falso negativo
1,"O produto é muito bonito e o material bom. Mas ele é ineficiente para a função que se propôe. Não extrai todo o sumo do limão, espirra e vaza sumo por cima. Tenho outro modelo, bem mais simples e barato que é eficiente e funcional. Não apresenta esses problemas. Não estou mais usando esse espremedor.",0,1,Falso positivo
5,"Em relacao ao celular, tudo certo.. excelente custo beneficio mas, a entrega deixou a desejar entregou em um outro lugar totalmente diferente.. nao me avisaram nem nda .. se nao fosse o rapaz q recebeu nos ligar nem iamos saber q estava la.. nota zero pra transportadora falta de respeito total com o consumidor.",1,0,Falso negativo
4,"É um ótimo smartphone, porém apresentou um problema ainda desconhecido, onde esquentou e apagou, só sendo possível ligar o aparelho via modo download. Aconteceu duas vezes. Abri um chamado na Samsung e vou enviar para garantia.",1,0,Falso negativo
5,utilizarei quando o meu celular chegar bonbonbonbonbonbonbonbonbonbonbonbon,1,0,Falso negativo
5,O game vem completo e ainda inclui os 4 jogos anteriores da serie!,1,0,Falso negativo
2,Comprei mais pensando na qualidade da câmera mais não é tão boa o quanto eu esperava principalmente a frontal.,0,1,Falso positivo
5,"Um produto que supre as nessessidades da pessoa que tem pouco tempo, e ainda serve de conservação de tudo que se guarda gelado.",1,0,Falso negativo
4,Mas a bateria não dura muito não com a net ligada.,1,0,Falso negativo
1,"Pôxa! O frete econômico fica R$ 934,69! Vou esperar baixar o frete.",0,1,Falso positivo
2,Peça feita com interior de Ouro e acabamento em Irídio. Pesa mais que o martelo de Thor. Ótima peça.,0,1,Falso positivo
2,"Seria ótimo se mandassem o que está na descrição do produto. Que diz,""fone compatível com qualquer controle""",0,1,Falso positivo
4,"Bão dimais da conta pena que é muito caro e vem só com um pinguinho de tinta, devia vir cheião.",1,0,Falso negativo
4,"Gostaria que o manual fosse mais claro no ato que foi instalado o aparelho funcional normalmente só não sei o porque que ficou uma faixa escura tanta na parte inferior e superior. sendo que o aparelho e com conversor deveria abrir a tela inteira, independente o canal. estou pesquisando ou contratar o técnico pra tentar sanar o problema.",1,0,Falso negativo
1,"com 449,00 eu pago dois aluguéis e ainda sobra para um BIG MAC . To  comprando a franquia por acaso??",0,1,Falso positivo
1,"Meu Deus, Pre venda e para o lançamento e n para 30/04 ah e so dizendo o SAQ e uma B0st4 tbm e loja toda de vcs  o, e minimo era entregar mas nem isso Além de q a gente tem paga tem q tomar no ..........",0,1,Falso positivo
4,"Tinha a Samsung troquei pra testar e não me arrependo, a Lg é rápida internet não trava como a Samsung. Trocando tudo por Lg. Para quem usa smart tv ela é mil, sem falar na imagem, cores mais vivas",1,0,Falso negativo
2,"Pensei que estivesse comprando cartas originais. Não são, o verso e tudo branco.  Eu teria trocado, mas meu filho quis mesmo assim .",0,1,Falso positivo
1,As HD atuais são muito menores. Também não parece proteger muito bem.,0,1,Falso positivo
2,Bem nunca adquiri esse produto é essa marca espero que atenda minha necessidade.,0,1,Falso positivo
4,Prezados... Produto chegou com um pouco de atraso mas chegou!,1,0,Falso negativo
1,"Eu fui comprar para minha filha, porém percebi que é uma má influência, não confio em pessoas da testa grande, amei!!!",0,1,Falso positivo
2,O produto era presente de aniversário e chegou um dia depois da data limite da entrega.,0,1,Falso positivo
2,Gostei produto foi entregue antes do prazo estimado em otimo estado porem tivevemos alguns desentimentos na hora da entrega me passaram o contato da loja que fazia entrega errado e nao consegui entrar em contato pra saber do meu produto....,0,1,Falso positivo
2,"Estou frustrada, pois a loja está fazendo isso com os consumidores. Achei que era uma loja com boa boas procedências. Paquei pela mochila é a mesma não chegou. Agora a loja me enviá-la.",0,1,Falso positivo
2,"Produto chegou antes da data prevista, porém, a lateral veio quebrada, e como era presente, só notei quando foi tirado do pacote.",0,1,Falso positivo
4,"O produto chegou bem antes do previsto e em ótimo estado. Até agora não tive problemas, mas estou com ele a poucos dias. Posteriormente, se apresentar algum defeito, irei avaliar novamente.",1,0,Falso negativo
5,"Muito bom, minha opinião é excelência.O único atendimento que não goste foi do correio, vocês pudia contratar empresa privada, além de eu ter pagado muito caro o frete, mais caro que o produto. E já estava na devolução se não acompanho teria ficado no prejuízo.",1,0,Falso negativo
4,Foi o local com o menor preço a vista. Jogabilidade ainda muita parecida com o 2017.,1,0,Falso negativo
2,"A manopla de câmbio não é cinza como mostra na foto!!!!....Mas tudo bem, essas coisas acontecem,....o produto é de boa qualidade.",0,1,Falso positivo
4,"Só deveria ser explicado que os parafusos já se encontram encaixados. Mandei e-mail, pois não visualizava os parafusos na peça. Responderam prontamente.",1,0,Falso negativo
5,"Beira rio nunca me decepcionou, quando se trata de conforto é com essa marca que pode contar! Recomendo!",1,0,Falso negativo
4,"Somente alerto para quem for comprar não cometer o mesmo erro que eu, o tamanho da máscara é para criança e não adulto.",1,0,Falso negativo
2,"Produto bom, porém frágil. Minha gata é pesada e pude perceber que ela fica desconfiada quando vai fazer as necessidades e começa a afundar.",0,1,Falso positivo
1,"console fica toda hora atualizando e menos de uma semana tive que fazer o rest de fabrica umas 5 vezes pq as atualizações da microsoft davam pau só funciona online não da pra jogar sem estar na internet pelo menos para salvar os jogos, jogos são muito grandes a memoria interna vai rapidinho e mesmo com a mídia física tem que instalar no console gastando memoria e leitor pra jogar um jogo que e só por o CD melhor e ficar no 360 mesmo!!!!",0,1,Falso positivo
2,"A entrega da Americanas.com como sempre eficiente, mas o produto desta vez não agradou. um banho de piscina rasa e o relógio encheu D'agua.......",0,1,Falso positivo
1,O fornecedor não tem o produto nessa cor ha algum tempo.,0,1,Falso positivo
5,"Só precisa ter cuidado para não se queimar na hora de retirar o restinho que não é jogado para fora, pois ela aquece muito.",1,0,Falso negativo
